# Stacks v1.46;  Phylip sequential; October 04, 2020
# Seq Pos	Locus ID	Column	Population
18	793	7	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:R,CPS:G,PPNP:N,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
19	840	18	TGCP:A,MRLP:A,STT:N,FSSP:A,HNL:N,MPO:A,OICP:A,IRO:A,HGRF:A,PTP:N,RRL:A,RRO:N,CPS:A,PPNP:T,FPPI:T,CRWA:A,PCRA:A,DHFA:T,
20	842	11	TGCP:G,MRLP:G,STT:N,FSSP:G,HNL:G,MPO:N,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:R,RRO:G,CPS:G,PPNP:G,FPPI:N,CRWA:G,PCRA:G,DHFA:G,
21	920	69	TGCP:W,MRLP:W,STT:N,FSSP:W,HNL:A,MPO:N,OICP:N,IRO:W,HGRF:T,PTP:T,RRL:N,RRO:W,CPS:W,PPNP:A,FPPI:A,CRWA:W,PCRA:W,DHFA:A,
22	935	32	TGCP:T,MRLP:N,STT:N,FSSP:T,HNL:T,MPO:N,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:K,RRO:T,CPS:K,PPNP:T,FPPI:T,CRWA:K,PCRA:K,DHFA:T,
23	940	24	TGCP:T,MRLP:W,STT:T,FSSP:N,HNL:T,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:T,FPPI:T,CRWA:N,PCRA:T,DHFA:T,
24	953	21	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:R,CRWA:G,PCRA:G,DHFA:G,
25	986	28	TGCP:S,MRLP:N,STT:N,FSSP:C,HNL:C,MPO:N,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
26	1121	29	TGCP:A,MRLP:A,STT:A,FSSP:A,HNL:A,MPO:N,OICP:A,IRO:A,HGRF:A,PTP:N,RRL:A,RRO:A,CPS:A,PPNP:W,FPPI:W,CRWA:A,PCRA:A,DHFA:A,
27	1224	57	TGCP:G,MRLP:N,STT:G,FSSP:G,HNL:R,MPO:N,OICP:G,IRO:G,HGRF:N,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
28	1335	30	TGCP:G,MRLP:R,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:R,HGRF:G,PTP:N,RRL:R,RRO:R,CPS:R,PPNP:G,FPPI:G,CRWA:R,PCRA:R,DHFA:G,
29	1341	10	TGCP:C,MRLP:Y,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:Y,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
30	1417	23	TGCP:T,MRLP:T,STT:T,FSSP:N,HNL:T,MPO:N,OICP:T,IRO:T,HGRF:N,PTP:T,RRL:Y,RRO:Y,CPS:Y,PPNP:T,FPPI:T,CRWA:T,PCRA:T,DHFA:N,
31	1500	28	TGCP:Y,MRLP:N,STT:N,FSSP:Y,HNL:C,MPO:N,OICP:Y,IRO:Y,HGRF:Y,PTP:N,RRL:Y,RRO:C,CPS:Y,PPNP:C,FPPI:C,CRWA:Y,PCRA:Y,DHFA:C,
32	1515	32	TGCP:C,MRLP:N,STT:C,FSSP:N,HNL:C,MPO:N,OICP:C,IRO:Y,HGRF:C,PTP:N,RRL:Y,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
33	1552	70	TGCP:A,MRLP:A,STT:N,FSSP:A,HNL:A,MPO:N,OICP:A,IRO:A,HGRF:N,PTP:N,RRL:A,RRO:A,CPS:A,PPNP:A,FPPI:A,CRWA:A,PCRA:A,DHFA:W,
34	1610	24	TGCP:T,MRLP:W,STT:T,FSSP:T,HNL:T,MPO:N,OICP:T,IRO:T,HGRF:T,PTP:N,RRL:T,RRO:T,CPS:T,PPNP:T,FPPI:T,CRWA:T,PCRA:T,DHFA:T,
35	1728	36	TGCP:K,MRLP:N,STT:N,FSSP:N,HNL:G,MPO:K,OICP:G,IRO:K,HGRF:G,PTP:G,RRL:N,RRO:K,CPS:K,PPNP:G,FPPI:G,CRWA:K,PCRA:K,DHFA:G,
36	1751	9	TGCP:A,MRLP:A,STT:N,FSSP:A,HNL:R,MPO:A,OICP:A,IRO:A,HGRF:A,PTP:A,RRL:A,RRO:A,CPS:A,PPNP:A,FPPI:R,CRWA:A,PCRA:A,DHFA:A,
37	1789	36	TGCP:G,MRLP:G,STT:G,FSSP:N,HNL:T,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:T,FPPI:T,CRWA:N,PCRA:G,DHFA:K,
38	1825	89	TGCP:C,MRLP:M,STT:C,FSSP:N,HNL:N,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:C,CPS:N,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
39	1914	23	TGCP:G,MRLP:G,STT:N,FSSP:G,HNL:G,MPO:N,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:N,FPPI:R,CRWA:G,PCRA:G,DHFA:R,
40	1941	44	TGCP:M,MRLP:C,STT:C,FSSP:N,HNL:C,MPO:C,OICP:M,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:N,PCRA:C,DHFA:C,
41	1943	5	TGCP:A,MRLP:A,STT:A,FSSP:A,HNL:G,MPO:N,OICP:A,IRO:A,HGRF:A,PTP:N,RRL:A,RRO:A,CPS:A,PPNP:G,FPPI:G,CRWA:A,PCRA:A,DHFA:G,
42	2014	26	TGCP:T,MRLP:T,STT:N,FSSP:N,HNL:N,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:Y,RRO:Y,CPS:Y,PPNP:T,FPPI:T,CRWA:T,PCRA:Y,DHFA:T,
43	2065	15	TGCP:C,MRLP:C,STT:N,FSSP:N,HNL:T,MPO:N,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:C,CPS:C,PPNP:T,FPPI:Y,CRWA:C,PCRA:C,DHFA:T,
44	2119	58	TGCP:A,MRLP:N,STT:N,FSSP:A,HNL:R,MPO:N,OICP:A,IRO:A,HGRF:A,PTP:N,RRL:A,RRO:A,CPS:A,PPNP:A,FPPI:A,CRWA:A,PCRA:A,DHFA:A,
45	2121	47	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:T,MPO:N,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:W,CPS:T,PPNP:T,FPPI:T,CRWA:T,PCRA:T,DHFA:T,
46	2172	11	TGCP:G,MRLP:G,STT:N,FSSP:G,HNL:C,MPO:N,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:C,FPPI:C,CRWA:G,PCRA:G,DHFA:C,
47	2199	28	TGCP:G,MRLP:N,STT:G,FSSP:G,HNL:R,MPO:N,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:A,FPPI:N,CRWA:G,PCRA:G,DHFA:R,
48	2211	27	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:T,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:W,PPNP:N,FPPI:T,CRWA:T,PCRA:T,DHFA:T,
49	2231	81	TGCP:G,MRLP:G,STT:N,FSSP:G,HNL:G,MPO:N,OICP:G,IRO:S,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:S,PCRA:N,DHFA:G,
50	2295	52	TGCP:Y,MRLP:Y,STT:C,FSSP:C,HNL:C,MPO:N,OICP:C,IRO:Y,HGRF:C,PTP:C,RRL:C,RRO:Y,CPS:C,PPNP:N,FPPI:C,CRWA:N,PCRA:Y,DHFA:C,
51	2335	41	TGCP:T,MRLP:N,STT:T,FSSP:T,HNL:A,MPO:N,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:A,FPPI:N,CRWA:T,PCRA:T,DHFA:A,
52	2370	25	TGCP:A,MRLP:A,STT:A,FSSP:N,HNL:C,MPO:A,OICP:A,IRO:A,HGRF:A,PTP:A,RRL:A,RRO:A,CPS:A,PPNP:C,FPPI:C,CRWA:A,PCRA:A,DHFA:C,
53	2422	11	TGCP:C,MRLP:N,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:Y,RRO:N,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:N,DHFA:C,
54	2600	68	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:Y,MPO:C,OICP:C,IRO:Y,HGRF:C,PTP:N,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:Y,DHFA:Y,
55	2609	10	TGCP:G,MRLP:G,STT:N,FSSP:G,HNL:G,MPO:G,OICP:N,IRO:R,HGRF:N,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
56	2661	15	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:C,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:C,FPPI:C,CRWA:T,PCRA:T,DHFA:C,
57	2691	19	TGCP:C,MRLP:N,STT:C,FSSP:C,HNL:Y,MPO:N,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
58	2692	87	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:S,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:S,
59	2740	10	TGCP:C,MRLP:Y,STT:N,FSSP:C,HNL:C,MPO:N,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:Y,PCRA:C,DHFA:C,
60	2828	29	TGCP:R,MRLP:G,STT:A,FSSP:G,HNL:G,MPO:N,OICP:G,IRO:R,HGRF:G,PTP:G,RRL:R,RRO:G,CPS:R,PPNP:G,FPPI:G,CRWA:G,PCRA:R,DHFA:G,
61	2870	38	TGCP:G,MRLP:N,STT:N,FSSP:N,HNL:G,MPO:N,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:R,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
62	2927	29	TGCP:T,MRLP:N,STT:T,FSSP:T,HNL:C,MPO:N,OICP:T,IRO:T,HGRF:N,PTP:N,RRL:Y,RRO:Y,CPS:T,PPNP:C,FPPI:C,CRWA:T,PCRA:Y,DHFA:C,
63	2936	59	TGCP:C,MRLP:C,STT:N,FSSP:N,HNL:C,MPO:N,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:C,CPS:C,PPNP:T,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
64	2943	19	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:T,MPO:N,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:Y,RRO:T,CPS:Y,PPNP:T,FPPI:T,CRWA:T,PCRA:T,DHFA:T,
65	2966	38	TGCP:G,MRLP:G,STT:N,FSSP:G,HNL:K,MPO:N,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:N,CRWA:G,PCRA:G,DHFA:G,
66	3105	41	TGCP:Y,MRLP:N,STT:C,FSSP:N,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:Y,PTP:N,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
67	3181	44	TGCP:Y,MRLP:N,STT:N,FSSP:N,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:N,CRWA:C,PCRA:C,DHFA:C,
68	3186	16	TGCP:C,MRLP:C,STT:N,FSSP:Y,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:N,CPS:N,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
69	3337	85	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:C,CPS:C,PPNP:Y,FPPI:Y,CRWA:C,PCRA:C,DHFA:C,
70	3343	31	TGCP:C,MRLP:C,STT:N,FSSP:N,HNL:C,MPO:N,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:S,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:S,DHFA:C,
71	3352	5	TGCP:C,MRLP:C,STT:M,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
72	3355	8	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:N,OICP:G,IRO:G,HGRF:N,PTP:N,RRL:G,RRO:R,CPS:R,PPNP:G,FPPI:N,CRWA:G,PCRA:G,DHFA:G,
73	3533	71	TGCP:A,MRLP:W,STT:N,FSSP:A,HNL:A,MPO:A,OICP:A,IRO:N,HGRF:A,PTP:N,RRL:W,RRO:A,CPS:N,PPNP:A,FPPI:A,CRWA:A,PCRA:W,DHFA:A,
74	3606	5	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:N,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:C,CPS:C,PPNP:T,FPPI:T,CRWA:C,PCRA:C,DHFA:Y,
75	3611	16	TGCP:G,MRLP:G,STT:N,FSSP:G,HNL:K,MPO:N,OICP:G,IRO:G,HGRF:N,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:K,FPPI:K,CRWA:G,PCRA:G,DHFA:K,
76	3710	22	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:C,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:C,FPPI:C,CRWA:T,PCRA:T,DHFA:C,
77	3727	88	TGCP:A,MRLP:A,STT:N,FSSP:A,HNL:W,MPO:N,OICP:A,IRO:A,HGRF:N,PTP:N,RRL:A,RRO:A,CPS:A,PPNP:A,FPPI:A,CRWA:A,PCRA:A,DHFA:A,
78	3742	7	TGCP:G,MRLP:G,STT:N,FSSP:G,HNL:G,MPO:N,OICP:G,IRO:G,HGRF:N,PTP:G,RRL:G,RRO:K,CPS:N,PPNP:G,FPPI:G,CRWA:G,PCRA:K,DHFA:G,
79	3863	23	TGCP:C,MRLP:C,STT:N,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:Y,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
80	3905	27	TGCP:G,MRLP:G,STT:N,FSSP:G,HNL:S,MPO:N,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:N,PPNP:C,FPPI:C,CRWA:G,PCRA:G,DHFA:G,
81	4138	17	TGCP:G,MRLP:N,STT:G,FSSP:G,HNL:A,MPO:G,OICP:G,IRO:G,HGRF:N,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:A,FPPI:A,CRWA:N,PCRA:G,DHFA:A,
82	4154	12	TGCP:G,MRLP:G,STT:N,FSSP:G,HNL:R,MPO:N,OICP:G,IRO:G,HGRF:N,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:R,CRWA:G,PCRA:G,DHFA:R,
83	4199	48	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:C,MPO:N,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:C,FPPI:C,CRWA:G,PCRA:G,DHFA:C,
84	4213	72	TGCP:A,MRLP:A,STT:N,FSSP:A,HNL:W,MPO:N,OICP:A,IRO:A,HGRF:A,PTP:N,RRL:A,RRO:A,CPS:A,PPNP:A,FPPI:A,CRWA:A,PCRA:A,DHFA:A,
85	4322	10	TGCP:T,MRLP:T,STT:N,FSSP:T,HNL:T,MPO:N,OICP:T,IRO:T,HGRF:N,PTP:N,RRL:T,RRO:T,CPS:W,PPNP:T,FPPI:T,CRWA:T,PCRA:W,DHFA:T,
86	4339	12	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:N,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:C,FPPI:C,CRWA:G,PCRA:G,DHFA:N,
87	4403	11	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:A,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:A,FPPI:A,CRWA:G,PCRA:R,DHFA:A,
88	4415	65	TGCP:R,MRLP:N,STT:N,FSSP:R,HNL:G,MPO:N,OICP:G,IRO:R,HGRF:G,PTP:N,RRL:R,RRO:G,CPS:R,PPNP:G,FPPI:G,CRWA:R,PCRA:G,DHFA:G,
89	4451	18	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:R,MPO:G,OICP:G,IRO:G,HGRF:N,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:N,CRWA:G,PCRA:G,DHFA:G,
90	4534	6	TGCP:T,MRLP:T,STT:T,FSSP:N,HNL:G,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:G,FPPI:G,CRWA:T,PCRA:T,DHFA:N,
91	4535	33	TGCP:G,MRLP:R,STT:G,FSSP:G,HNL:N,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:R,RRO:G,CPS:R,PPNP:N,FPPI:N,CRWA:G,PCRA:G,DHFA:N,
92	4611	34	TGCP:C,MRLP:N,STT:N,FSSP:C,HNL:C,MPO:N,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:Y,CRWA:C,PCRA:C,DHFA:C,
93	4625	40	TGCP:G,MRLP:G,STT:N,FSSP:G,HNL:G,MPO:N,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:N,FPPI:T,CRWA:G,PCRA:G,DHFA:G,
94	4629	8	TGCP:C,MRLP:N,STT:C,FSSP:C,HNL:N,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:C,CPS:C,PPNP:T,FPPI:Y,CRWA:C,PCRA:C,DHFA:C,
95	4698	52	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:R,MPO:N,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:R,FPPI:R,CRWA:G,PCRA:G,DHFA:G,
96	4703	37	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:N,MPO:C,OICP:C,IRO:M,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:N,FPPI:N,CRWA:C,PCRA:C,DHFA:N,
97	4778	38	TGCP:C,MRLP:C,STT:N,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:N,CPS:C,PPNP:N,FPPI:Y,CRWA:N,PCRA:C,DHFA:Y,
98	4782	84	TGCP:G,MRLP:N,STT:G,FSSP:N,HNL:A,MPO:N,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:G,RRO:G,CPS:G,PPNP:A,FPPI:A,CRWA:G,PCRA:G,DHFA:A,
99	4880	66	TGCP:C,MRLP:S,STT:C,FSSP:C,HNL:N,MPO:S,OICP:N,IRO:S,HGRF:C,PTP:N,RRL:C,RRO:S,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:N,
100	4940	46	TGCP:A,MRLP:N,STT:A,FSSP:A,HNL:A,MPO:A,OICP:A,IRO:A,HGRF:A,PTP:A,RRL:A,RRO:A,CPS:A,PPNP:A,FPPI:N,CRWA:A,PCRA:A,DHFA:R,
101	4958	12	TGCP:A,MRLP:M,STT:A,FSSP:A,HNL:A,MPO:N,OICP:A,IRO:A,HGRF:A,PTP:N,RRL:A,RRO:A,CPS:A,PPNP:A,FPPI:N,CRWA:A,PCRA:A,DHFA:A,
102	4966	34	TGCP:C,MRLP:N,STT:C,FSSP:S,HNL:C,MPO:N,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:S,PCRA:C,DHFA:C,
103	5054	15	TGCP:G,MRLP:N,STT:G,FSSP:G,HNL:G,MPO:N,OICP:G,IRO:N,HGRF:G,PTP:G,RRL:N,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:R,
104	5083	11	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:Y,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:N,PPNP:Y,FPPI:C,CRWA:C,PCRA:C,DHFA:Y,
105	5107	14	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:N,MPO:N,OICP:G,IRO:G,HGRF:G,PTP:N,RRL:G,RRO:R,CPS:G,PPNP:G,FPPI:N,CRWA:G,PCRA:G,DHFA:G,
106	5108	23	TGCP:G,MRLP:G,STT:G,FSSP:N,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:K,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
107	5134	42	TGCP:R,MRLP:G,STT:N,FSSP:G,HNL:G,MPO:R,OICP:R,IRO:N,HGRF:A,PTP:N,RRL:N,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
108	5219	16	TGCP:C,MRLP:C,STT:N,FSSP:C,HNL:C,MPO:N,OICP:C,IRO:C,HGRF:C,PTP:N,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:Y,DHFA:C,
109	5263	9	TGCP:A,MRLP:N,STT:A,FSSP:N,HNL:G,MPO:A,OICP:N,IRO:A,HGRF:N,PTP:A,RRL:A,RRO:A,CPS:A,PPNP:G,FPPI:G,CRWA:A,PCRA:R,DHFA:G,
110	5268	19	TGCP:G,MRLP:G,STT:G,FSSP:N,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:N,PTP:N,RRL:N,RRO:R,CPS:G,PPNP:G,FPPI:G,CRWA:R,PCRA:R,DHFA:G,
