# Stacks v1.46;  Phylip sequential; October 04, 2020
# Seq Pos	Locus ID	Column	Population
32	19602	58	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:R,
33	20143	24	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:R,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
34	21661	29	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:R,
35	22603	12	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:Y,
36	25109	23	TGCP:G,MRLP:G,STT:G,FSSP:R,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:R,DHFA:G,
37	25511	77	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:Y,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
38	26450	31	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:R,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:R,FPPI:R,CRWA:G,PCRA:G,DHFA:R,
39	26542	39	TGCP:R,MRLP:R,STT:G,FSSP:A,HNL:G,MPO:G,OICP:R,IRO:R,HGRF:A,PTP:G,RRL:R,RRO:R,CPS:R,PPNP:G,FPPI:G,CRWA:R,PCRA:R,DHFA:G,
40	26665	44	TGCP:A,MRLP:A,STT:A,FSSP:A,HNL:W,MPO:A,OICP:A,IRO:A,HGRF:A,PTP:A,RRL:A,RRO:A,CPS:A,PPNP:W,FPPI:W,CRWA:A,PCRA:A,DHFA:W,
41	26816	9	TGCP:T,MRLP:Y,STT:T,FSSP:Y,HNL:T,MPO:T,OICP:T,IRO:Y,HGRF:T,PTP:T,RRL:Y,RRO:T,CPS:T,PPNP:T,FPPI:T,CRWA:Y,PCRA:T,DHFA:T,
42	27660	12	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:G,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:S,FPPI:G,CRWA:C,PCRA:C,DHFA:G,
43	29455	86	TGCP:G,MRLP:K,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
44	29490	41	TGCP:C,MRLP:Y,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:Y,HGRF:C,PTP:C,RRL:Y,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:Y,PCRA:Y,DHFA:C,
45	30612	12	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:S,FPPI:S,CRWA:G,PCRA:G,DHFA:G,
46	30775	57	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:K,RRO:K,CPS:K,PPNP:G,FPPI:G,CRWA:G,PCRA:K,DHFA:G,
47	30970	30	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:K,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
48	31067	50	TGCP:Y,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:Y,IRO:Y,HGRF:Y,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
49	31963	25	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:R,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
50	32425	53	TGCP:T,MRLP:T,STT:K,FSSP:T,HNL:T,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:T,FPPI:T,CRWA:T,PCRA:T,DHFA:T,
51	32971	16	TGCP:C,MRLP:C,STT:C,FSSP:Y,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
52	33052	5	TGCP:C,MRLP:C,STT:Y,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
53	33744	32	TGCP:C,MRLP:C,STT:Y,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
54	34805	8	TGCP:T,MRLP:K,STT:T,FSSP:T,HNL:T,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:T,FPPI:T,CRWA:T,PCRA:K,DHFA:T,
55	35345	10	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:Y,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
56	35769	30	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:T,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:W,PPNP:T,FPPI:T,CRWA:T,PCRA:W,DHFA:T,
57	35965	89	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:M,PCRA:C,DHFA:C,
58	39654	13	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:R,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
59	39686	46	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:A,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:A,FPPI:R,CRWA:G,PCRA:G,DHFA:R,
60	39700	65	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:T,MPO:T,OICP:T,IRO:K,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:T,FPPI:T,CRWA:T,PCRA:T,DHFA:T,
61	40498	12	TGCP:A,MRLP:A,STT:A,FSSP:A,HNL:C,MPO:A,OICP:A,IRO:A,HGRF:A,PTP:A,RRL:A,RRO:A,CPS:A,PPNP:C,FPPI:A,CRWA:A,PCRA:A,DHFA:C,
62	40824	7	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:Y,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
63	41554	43	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:R,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
64	42204	44	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:W,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:W,FPPI:W,CRWA:T,PCRA:T,DHFA:W,
65	42440	25	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:A,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:A,FPPI:A,CRWA:G,PCRA:G,DHFA:A,
66	42501	5	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:K,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:K,
67	42989	15	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:Y,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
68	43057	11	TGCP:G,MRLP:G,STT:R,FSSP:G,HNL:G,MPO:R,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
69	43522	7	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:A,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:A,FPPI:A,CRWA:G,PCRA:G,DHFA:A,
70	43754	9	TGCP:Y,MRLP:C,STT:T,FSSP:Y,HNL:T,MPO:T,OICP:Y,IRO:Y,HGRF:C,PTP:Y,RRL:Y,RRO:T,CPS:Y,PPNP:T,FPPI:T,CRWA:Y,PCRA:Y,DHFA:T,
71	43836	13	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:W,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:A,FPPI:A,CRWA:T,PCRA:T,DHFA:W,
72	44295	76	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:Y,
73	44631	16	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:K,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
74	45332	74	TGCP:Y,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:Y,OICP:C,IRO:Y,HGRF:C,PTP:C,RRL:Y,RRO:Y,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:Y,DHFA:C,
75	45935	33	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:R,PCRA:R,DHFA:G,
76	45964	12	TGCP:A,MRLP:A,STT:A,FSSP:A,HNL:A,MPO:A,OICP:A,IRO:A,HGRF:A,PTP:A,RRL:A,RRO:A,CPS:A,PPNP:M,FPPI:A,CRWA:A,PCRA:A,DHFA:A,
77	47772	18	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:R,
78	48505	7	TGCP:Y,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
79	49838	13	TGCP:R,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
80	50793	47	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:R,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
81	50835	26	TGCP:S,MRLP:C,STT:G,FSSP:S,HNL:G,MPO:G,OICP:G,IRO:S,HGRF:G,PTP:G,RRL:S,RRO:C,CPS:C,PPNP:G,FPPI:G,CRWA:S,PCRA:S,DHFA:G,
82	50905	6	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:K,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:K,FPPI:K,CRWA:T,PCRA:T,DHFA:K,
83	51471	5	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:T,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:T,FPPI:K,CRWA:T,PCRA:T,DHFA:T,
84	52380	71	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:K,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:K,FPPI:K,CRWA:G,PCRA:G,DHFA:K,
85	52408	45	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:Y,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
86	53046	18	TGCP:G,MRLP:G,STT:R,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:R,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
87	53139	46	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:T,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:Y,RRO:Y,CPS:C,PPNP:T,FPPI:T,CRWA:C,PCRA:C,DHFA:Y,
88	53186	19	TGCP:C,MRLP:C,STT:Y,FSSP:C,HNL:C,MPO:Y,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:Y,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
89	53230	50	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:K,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
90	53369	6	TGCP:S,MRLP:G,STT:G,FSSP:S,HNL:G,MPO:S,OICP:G,IRO:S,HGRF:G,PTP:G,RRL:G,RRO:S,CPS:G,PPNP:G,FPPI:G,CRWA:S,PCRA:S,DHFA:G,
91	53617	56	TGCP:A,MRLP:W,STT:W,FSSP:W,HNL:A,MPO:A,OICP:A,IRO:W,HGRF:A,PTP:A,RRL:A,RRO:A,CPS:W,PPNP:A,FPPI:A,CRWA:A,PCRA:W,DHFA:A,
92	53957	5	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:Y,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
93	56503	39	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:A,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:R,FPPI:R,CRWA:G,PCRA:G,DHFA:R,
94	57376	56	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:S,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:G,FPPI:G,CRWA:C,PCRA:C,DHFA:G,
95	58003	89	TGCP:G,MRLP:G,STT:G,FSSP:R,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
96	58412	58	TGCP:T,MRLP:T,STT:T,FSSP:T,HNL:T,MPO:T,OICP:T,IRO:T,HGRF:T,PTP:T,RRL:T,RRO:T,CPS:T,PPNP:T,FPPI:T,CRWA:T,PCRA:T,DHFA:W,
97	58452	11	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:S,PCRA:G,DHFA:G,
98	59409	85	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:C,MPO:C,OICP:C,IRO:M,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
99	60620	10	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:S,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
100	60688	17	TGCP:A,MRLP:A,STT:A,FSSP:A,HNL:G,MPO:A,OICP:A,IRO:A,HGRF:A,PTP:A,RRL:A,RRO:A,CPS:A,PPNP:G,FPPI:G,CRWA:A,PCRA:A,DHFA:G,
101	61113	43	TGCP:A,MRLP:A,STT:A,FSSP:A,HNL:A,MPO:A,OICP:A,IRO:A,HGRF:A,PTP:A,RRL:A,RRO:A,CPS:A,PPNP:R,FPPI:R,CRWA:A,PCRA:A,DHFA:R,
102	61541	77	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:R,
103	61756	42	TGCP:C,MRLP:C,STT:C,FSSP:C,HNL:Y,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:C,PPNP:C,FPPI:C,CRWA:C,PCRA:C,DHFA:C,
104	62497	19	TGCP:Y,MRLP:C,STT:C,FSSP:Y,HNL:C,MPO:C,OICP:C,IRO:C,HGRF:C,PTP:C,RRL:C,RRO:C,CPS:Y,PPNP:C,FPPI:C,CRWA:C,PCRA:Y,DHFA:C,
105	63024	50	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:R,PCRA:G,DHFA:G,
106	63986	15	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:R,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:R,FPPI:R,CRWA:G,PCRA:G,DHFA:R,
107	64210	51	TGCP:A,MRLP:A,STT:A,FSSP:A,HNL:A,MPO:A,OICP:A,IRO:A,HGRF:A,PTP:A,RRL:A,RRO:A,CPS:A,PPNP:A,FPPI:A,CRWA:W,PCRA:A,DHFA:A,
108	64422	76	TGCP:G,MRLP:G,STT:G,FSSP:G,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:G,CPS:G,PPNP:R,FPPI:R,CRWA:G,PCRA:G,DHFA:R,
109	64492	50	TGCP:G,MRLP:G,STT:G,FSSP:R,HNL:G,MPO:G,OICP:G,IRO:G,HGRF:G,PTP:G,RRL:G,RRO:R,CPS:R,PPNP:G,FPPI:G,CRWA:G,PCRA:G,DHFA:G,
110	67165	13	TGCP:G,MRLP:G,STT:G,FSSP:R,HNL:G,MPO:G,OICP:G,IRO:R,HGRF:G,PTP:G,RRL:R,RRO:G,CPS:G,PPNP:G,FPPI:G,CRWA:G,PCRA:R,DHFA:G,
